protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,MTL,811,extra_unseen,ema,tail20,0.5793715950406672,0.011220956229417064,0.013053727911564866,0.009024225931259178,0.0033880113051191776,0.028496095628127716,0.004176160502651625,0.011206335611035545,0.010434023087376953,330
strict,MTL,811,extra_unseen,ema,decay,0.6830172482264147,0.011421569888590744,0.013328657345278796,0.009024225931259178,0.0033880113051191776,0.03415972894441488,0.004245538545872631,0.011391568686380579,0.01035319836893267,340
strict,MTL,811,extra_unseen,ema,final1000,-18.249281801259002,0.010189813225850776,0.010463944406023287,0.009024225931259178,0.0033880113051191776,0.01677339223618235,0.0038230717799939734,0.010237777760612379,0.010189813225851552,51
strict,MTL,811,extra_unseen,ema,stable,0.966755065585899,0.028102672573334993,0.03320078283781679,0.05361186582803157,0.019270764840725603,0.05870637592247219,0.009922439682042037,0.028103546527407677,0.027129230771544943,1307
strict,MTL,811,extra_unseen,raw,full,0.9131305310700097,0.04085281270136428,0.052101961114414994,0.01425255160870087,0.005398081762755663,0.21242958758747577,0.014360545735562658,0.04080877366315242,0.02283055116043986,1647
strict,MTL,811,extra_unseen,raw,tail20,0.1416368388124032,0.0333125327492054,0.041946554036997624,0.01425255160870087,0.005398081762755663,0.14525949082686251,0.012354448255857676,0.033309849136365824,0.012028707990093146,330
strict,MTL,811,extra_unseen,raw,decay,0.167676167549764,0.03312490326197682,0.04194608183222975,0.01425255160870087,0.005398081762755663,0.14525949082686251,0.012283784492275065,0.033118060717915385,0.011206996487728382,340
strict,MTL,811,extra_unseen,raw,final1000,-0.1220068303687869,0.02990414496629257,0.03942572184654009,0.01425255160870087,0.005398081762755663,0.14525949082686251,0.01114257606344191,0.029849438774111788,0.01300111190844122,51
strict,MTL,811,extra_unseen,raw,stable,0.900816730217119,0.04286313344305651,0.05443420287218411,0.06090625658662452,0.02195028373011287,0.21242958758747577,0.0149007896703123,0.042791307418061114,0.03168500119898443,1307
strict,MPL,cosine,fit,ema,full,0.9819788532884497,0.00913500402203978,0.026058654008260664,0.004803991012433784,0.0018012787534663725,0.3192144534236987,0.002879272795388819,0.009042127826294929,0.0037140770178449856,1647
strict,MPL,cosine,fit,ema,tail20,0.8140197166478647,0.002908023754230515,0.0036246884289853833,0.004803991012433784,0.0018012787534663725,0.011657752410067612,0.0010867310699516554,0.00290309604246021,0.0009691022150404294,330
strict,MPL,cosine,fit,ema,decay,0.8140197166478647,0.002908023754230515,0.0036246884289853833,0.004803991012433784,0.0018012787534663725,0.011657752410067612,0.0010867310699516554,0.00290309604246021,0.0009691022150404294,330
strict,MPL,cosine,fit,ema,final1000,-2.562094436060487,0.003567196927215212,0.004220572864616577,0.004803991012433784,0.0018012787534663725,0.010156871811518364,0.001336530466716388,0.003569314373103585,0.0034131981623239938,51
strict,MPL,cosine,fit,ema,stable,0.978730327014897,0.010695295205317729,0.02908455676236329,0.0023229890680762644,0.0008625036635429726,0.3192144534236987,0.003328429036386741,0.01058125764753614,0.004887538784626777,1317
strict,MPL,cosine,fit,raw,full,0.9496720909387553,0.03317493555719929,0.04191153672660467,0.01600793418838009,0.00604945641305345,0.16463161727034858,0.011719102632650122,0.03315897972635577,0.00012444712299242155,1647
strict,MPL,cosine,fit,raw,tail20,0.047919601301439796,0.031073906974632474,0.03969685630493414,0.01600793418838009,0.00604945641305345,0.1390117830045079,0.011625074669164211,0.031105447028415705,0.001536123236521636,330
strict,MPL,cosine,fit,raw,decay,0.047919601301439796,0.031073906974632474,0.03969685630493414,0.01600793418838009,0.00604945641305345,0.1390117830045079,0.011625074669164211,0.031105447028415705,0.001536123236521636,330
strict,MPL,cosine,fit,raw,final1000,-0.0006567579955352176,0.0336522954597471,0.04282880853080505,0.01600793418838009,0.00604945641305345,0.11557444555471408,0.01268727770898403,0.03353404374967715,0.002272645791010053,51
strict,MPL,cosine,fit,raw,stable,0.9502379845238416,0.033701389188366376,0.04244836820748264,0.002383220446668499,0.0008848867884094377,0.16463161727034858,0.011742663170197846,0.03368700887904539,0.00022927582117171497,1317
strict,MPL,wsd,test,ema,full,0.9507831635078005,0.031148000153842212,0.04021936143636893,0.029068629034359805,0.010934890418934435,0.3130126345279023,0.010772394954117687,0.031063010705708986,0.023067852960031665,1647
strict,MPL,wsd,test,ema,tail20,0.5024240718650974,0.020637113100550122,0.023706447040204814,0.029068629034359805,0.010934890418934435,0.05132829850943077,0.007631421940413858,0.020581139839766675,0.003983583387991985,330
strict,MPL,wsd,test,ema,decay,0.49805369528182375,0.021680233441027597,0.025261479858549634,0.029068629034359805,0.010934890418934435,0.05891709851345883,0.008000727211313471,0.021618405673319217,0.002216324915498724,340
strict,MPL,wsd,test,ema,final1000,-90.65642381871717,0.02775212451637026,0.027844778265084944,0.029068629034359805,0.010934890418934435,0.03328695729481135,0.010426743558690188,0.02771234482722702,0.027752124516370547,51
strict,MPL,wsd,test,ema,stable,0.9436704735630483,0.03361092339971595,0.04327112361540676,0.05434483875643803,0.0195651208191478,0.3130126345279023,0.011493410281243496,0.03349601695772325,0.029645221343872485,1307
strict,MPL,wsd,test,raw,full,0.9118352820404961,0.041673600704574494,0.05175886155943535,0.05167417298579302,0.01960524600009024,0.1576632955580557,0.014586385172938256,0.04165056762439029,0.01886422799312104,1647
strict,MPL,wsd,test,raw,tail20,0.20678390830976268,0.03674691685443108,0.04639538649130895,0.05167417298579302,0.01960524600009024,0.1481505294457084,0.013652811394003778,0.036744597721778925,0.005836072970942574,330
strict,MPL,wsd,test,raw,decay,0.22222292654705988,0.03730567664561075,0.046974728260844076,0.05167417298579302,0.01960524600009024,0.1481505294457084,0.013838131809109372,0.03722701062394121,0.004125793077293327,340
strict,MPL,wsd,test,raw,final1000,-0.6193552731838512,0.043497055879007915,0.054499290173759256,0.05167417298579302,0.01960524600009024,0.1481505294457084,0.016558568287212645,0.04351771012702901,0.033835734474770174,51
strict,MPL,wsd,test,raw,stable,0.9064101536361737,0.04280986251027279,0.05293257043477143,0.08531695272265072,0.03037692128604828,0.1576632955580557,0.014781034096964128,0.0427688230171289,0.024844799656427163,1307
strict,MPL,811,extra_unseen,ema,full,0.9486382862548306,0.030597437055637056,0.04173150789145915,0.013514805100289351,0.00507393241426455,0.32009922922637335,0.010521023509483755,0.030514685184368714,0.028676884466948938,1647
strict,MPL,811,extra_unseen,ema,tail20,0.885865543478004,0.005409172938658067,0.006799760951001027,0.013514805100289351,0.00507393241426455,0.017266951229953253,0.002013861515640712,0.005380019091903078,0.0040152310618495335,330
strict,MPL,811,extra_unseen,ema,decay,0.8279832575287838,0.006426685186278085,0.009818699011650053,0.013514805100289351,0.00507393241426455,0.05912401060793426,0.002379923864993825,0.00633850606336412,0.005073741599964432,340
strict,MPL,811,extra_unseen,ema,final1000,-18.921215246809034,0.01011751802709131,0.010645009966916917,0.013514805100289351,0.00507393241426455,0.017266951229953253,0.003796115705969402,0.010166702406419575,0.010117518027092043,51
strict,MPL,811,extra_unseen,ema,stable,0.9345690291613388,0.03688516133687811,0.046577617047408544,0.05873707018107277,0.02111301760180147,0.32009922922637335,0.012638830609045025,0.036768367318220495,0.03481695223647918,1307
strict,MPL,811,extra_unseen,raw,full,0.911618762830353,0.04219786031423609,0.05255336454780932,0.009761972439670696,0.0036972976377745645,0.1657843835508781,0.014727948135454453,0.04218791949340702,0.025237843429746665,1647
strict,MPL,811,extra_unseen,raw,tail20,0.19832754005513786,0.031589241949239094,0.04053771226335652,0.009761972439670696,0.0036972976377745645,0.1478131214248921,0.011743145659574744,0.03157818860401091,0.005609915964565726,330
strict,MPL,811,extra_unseen,raw,decay,0.2172448458273497,0.03178154020292531,0.04067786986862058,0.009761972439670696,0.0036972976377745645,0.1478131214248921,0.011806382111917459,0.03180684089348982,0.005927539718760144,340
strict,MPL,811,extra_unseen,raw,final1000,-0.1258661139648194,0.029824058952944474,0.03949346850498522,0.009761972439670696,0.0036972976377745645,0.1478131214248921,0.011112313423030854,0.02986022837241918,0.012928816709681712,51
strict,MPL,811,extra_unseen,raw,stable,0.8979116219660905,0.04490753807846384,0.05522564650276428,0.05144267942247982,0.01853966197306317,0.1657843835508781,0.015487957659557423,0.044881126694993834,0.030261181809039694,1307
strict,FSL,cosine,fit,ema,full,0.9993887917971218,0.0036067486875514675,0.004799050892713643,0.00032647433312993357,0.0001224130682794773,0.022880029086301157,0.0012564835666523436,0.0036061303752945714,0.0007197188301613089,1647
strict,FSL,cosine,fit,ema,tail20,0.8640952348293105,0.0024158632286977316,0.00309852190781862,0.00032647433312993357,0.0001224130682794773,0.00961060163940175,0.0009027337192339202,0.0024222034571929267,0.0008654628407578357,330
strict,FSL,cosine,fit,ema,decay,0.8640952348293105,0.0024158632286977316,0.00309852190781862,0.00032647433312993357,0.0001224130682794773,0.00961060163940175,0.0009027337192339202,0.0024222034571929267,0.0008654628407578357,330
strict,FSL,cosine,fit,ema,final1000,-0.1697367376160579,0.0018411517111803625,0.0024185927841795987,0.00032647433312993357,0.0001224130682794773,0.005860893321623095,0.000690233004315045,0.0018210251302872083,0.0007753905334424438,51
strict,FSL,cosine,fit,ema,stable,0.9993362953463073,0.003905148233050126,0.005137708674919856,0.0016109298203179634,0.0005981228628361545,0.022880029086301157,0.0013451224805840667,0.003904113605259133,0.0011169169709384086,1317
strict,FSL,cosine,fit,raw,full,0.9482663698894543,0.03315363428537227,0.04249282630087949,0.021138399533943808,0.007988277882546862,0.20742341436914025,0.011684306555286909,0.03310434675641348,0.0031188053106760982,1647
strict,FSL,cosine,fit,raw,tail20,0.04497800648939132,0.031217709056538968,0.03975813369789261,0.021138399533943808,0.007988277882546862,0.1377230498787947,0.011678726828650926,0.03124784827124121,0.0014324838622390423,330
strict,FSL,cosine,fit,raw,decay,0.04497800648939132,0.031217709056538968,0.03975813369789261,0.021138399533943808,0.007988277882546862,0.1377230498787947,0.011678726828650926,0.03124784827124121,0.0014324838622390423,330
strict,FSL,cosine,fit,raw,final1000,-0.021175010963710106,0.03399751748714626,0.04326567819771992,0.021138399533943808,0.007988277882546862,0.11998589442808161,0.01283630982525182,0.033867363853422525,0.00646123448677649,51
strict,FSL,cosine,fit,raw,stable,0.9485771778199141,0.03363871805569497,0.043150911379575205,0.0015506984417257286,0.0005757724031817475,0.20742341436914025,0.011685704664466768,0.033584881932328906,0.0035413459925166535,1317
strict,FSL,wsd,test,ema,full,0.9504425253271972,0.0353106793441971,0.04035830399459595,0.053287673135482994,0.02004548841046971,0.06931602342883059,0.01268475560922488,0.03531500749725601,0.034608691268308345,1647
strict,FSL,wsd,test,ema,tail20,-1.9495144463604723,0.05756775481692125,0.057718103511372985,0.053287673135482994,0.02004548841046971,0.06931602342883059,0.021307279429393953,0.05757198812812902,0.05756775481692111,330
strict,FSL,wsd,test,ema,decay,-1.607596791310367,0.0574242742777424,0.05757717822985923,0.053287673135482994,0.02004548841046971,0.06931602342883059,0.02123824980637859,0.057437159245445554,0.05742427427774244,340
strict,FSL,wsd,test,ema,final1000,-336.36290988969387,0.05337330323009765,0.05342087247760277,0.053287673135482994,0.02004548841046971,0.057858959188254566,0.020051856843460482,0.05333002402861611,0.05337330323009715,51
strict,FSL,wsd,test,ema,stable,0.964196314876568,0.029558099177857844,0.034498005498649384,0.05464268737074773,0.019672351685190156,0.06000939429708829,0.010459669131005859,0.029558630611740702,0.02867349752446202,1307
strict,FSL,wsd,test,raw,full,0.8849582844998655,0.04754457276615352,0.059124159345872195,0.07589321708691621,0.028793981688614925,0.20242930045519003,0.016894482774279462,0.04748891256809464,0.03881231623521897,1647
strict,FSL,wsd,test,raw,tail20,-0.8885438902975884,0.06183356241118902,0.0715883874835794,0.07589321708691621,0.028793981688614925,0.17332224102754656,0.02309710566280786,0.06177736368361723,0.0594202443998717,330
strict,FSL,wsd,test,raw,decay,-0.7993709554291255,0.06167608050934441,0.07144914906238983,0.07589321708691621,0.028793981688614925,0.17332224102754656,0.02302128144107638,0.06169775566459207,0.05933374243953704,340
strict,FSL,wsd,test,raw,final1000,-1.9196297981564006,0.060875355631519745,0.07317852805740693,0.07589321708691621,0.028793981688614925,0.17332224102754656,0.0231745143449339,0.06127511807918147,0.059456913188496774,51
strict,FSL,wsd,test,raw,stable,0.8972188492844637,0.04386843456210998,0.05547091819960644,0.023670573404535045,0.008427857795655797,0.20242930045519003,0.015300671338387375,0.043815462508229625,0.033473919211907344,1307
strict,FSL,811,extra_unseen,ema,full,0.9503168886007048,0.03347847258037392,0.041043909111845675,0.04479612738133021,0.016818039258944904,0.11816605308245842,0.012055262123570758,0.03348211438395775,0.031771952151995464,1647
strict,FSL,811,extra_unseen,ema,tail20,-10.276267835135881,0.06338170613674038,0.06758774376267213,0.04479612738133021,0.016818039258944904,0.11816605308245842,0.023537442602791978,0.063362981458181,0.06338170613674032,330
strict,FSL,811,extra_unseen,ema,decay,-7.173624990327275,0.06356351825441317,0.06768242982998804,0.04479612738133021,0.016818039258944904,0.11816605308245842,0.023586395260926044,0.06361137040091702,0.06356351825441298,340
strict,FSL,811,extra_unseen,ema,final1000,-379.0554263469555,0.0464183241057745,0.04649557546428652,0.04479612738133021,0.016818039258944904,0.052988558655649776,0.017419822927164624,0.04636884372752019,0.046418324105773845,51
strict,FSL,811,extra_unseen,ema,stable,0.9719162768650038,0.02565221739355422,0.03051496844443928,0.05025045594611299,0.018062507333413205,0.05534866508942793,0.009055579440555612,0.0256487265736689,0.023501766631855325,1307
strict,FSL,811,extra_unseen,raw,full,0.8911344957437198,0.04603630842894329,0.058326461717456084,0.06807290492129026,0.0257822680936015,0.20256829848680624,0.016356448273854744,0.04598206523740313,0.03521099318919774,1647
strict,FSL,811,extra_unseen,raw,tail20,-1.8448706992546957,0.06448601476788517,0.07636458917122323,0.06807290492129026,0.0257822680936015,0.18786306857977708,0.024128257750224643,0.0643179822704224,0.06178702123402413,330
strict,FSL,811,extra_unseen,raw,decay,-1.822985887485475,0.06532933150671738,0.07725019567751305,0.06807290492129026,0.0257822680936015,0.18786306857977708,0.0244262021094761,0.06531490943215951,0.06270972013561726,340
strict,FSL,811,extra_unseen,raw,final1000,-1.37447141839178,0.04880380719395773,0.057354219802434034,0.06807290492129026,0.0257822680936015,0.13798233602929377,0.01840906921075777,0.04901394280704428,0.043607025423184176,51
strict,FSL,811,extra_unseen,raw,stable,0.908465979613648,0.04101746539417421,0.05229304432663503,0.05754484670470594,0.020738849884455682,0.20256829848680624,0.014257200910341921,0.040949288436133185,0.028057537059294813,1307
