method,lambda,restart,objective,success,L0,A,C,alpha,p0,p1,p2,p3,p4,p5,p6,status,c1,c2,c3,c4,s,gamma
MTL,0.9995,13,0.008073243938109879,True,2.4866071753755876,13.147656084692535,0.00015413629300895044,0.30968704826628796,,,,,,,,,,,,,,
MTL,0.9995,14,1e+30,True,2.544305488967698,10.468712759950904,5.4482054517253715,0.2822084825480169,,,,,,,,,,,,,,
MTL,0.9995,15,0.0006673555000240877,True,2.4022281139964083,145.55925539785184,1.2953356350501666e-05,0.6314166003780405,,,,,,,,,,,,,,
MTL,0.9995,16,1e+30,True,2.29963589384129,15.61605253017872,0.03351598948113437,0.3180799709550958,,,,,,,,,,,,,,
MTL,0.9995,17,1e+30,True,1.9549389197805742,258.57200745752544,0.25707177649199947,0.6981000958109597,,,,,,,,,,,,,,
MTL,0.9995,18,1e+30,True,1.9410209778903829,9.128160249959517,0.0024045694081935285,0.2131632353142224,,,,,,,,,,,,,,
MTL,0.9995,19,1e+30,True,2.477012437284916,889.4474697016394,6.203335642554414,0.9187634244486693,,,,,,,,,,,,,,
MPL,,0,0.0007089649958445714,True,,,,,2.667090566728131,228.91404934752182,65.26262957622687,2.8235750023801712e-05,0.7670229609980006,0.010373996270487301,0.9188118586886953,,,,,,,
MPL,,1,0.9155441151215048,True,,,,,2.7225867717857084,9565.954803794582,2.0769613374388043,1.0266507301060216e-05,1.2217593806815108,0.7471342137045967,1.0575225379245048,,,,,,,
MPL,,2,0.00027803987245854746,False,,,,,2.6062593801517533,53.77786609276576,1.220410635491128,1.4394453157580203,0.5742279988791634,0.011311399126341397,3.0,,,,,,,
MPL,,3,0.0014996578060074788,False,,,,,2.6979726923987144,370.8299673524157,0.7628065313258866,0.00019314637238681954,0.8355191261067347,0.23992085647771128,0.9022939400688436,,,,,,,
MPL,,4,0.00038649564584930887,True,,,,,2.342947008591108,9.620128851679741,0.13377186048302822,0.5299082789645854,0.3117901520932569,1.1742271327760436,0.9743954479042628,,,,,,,
MPL,,5,0.013859206656829097,True,,,,,2.7354940309521343,1173.8142233498459,3.692473544850375,2.718248373823965e-06,0.9905670373919065,2.2016206042279354,0.7019566070017632,,,,,,,
MPL,,6,0.0003319866875593276,True,,,,,2.599857440733096,50.57993689276993,0.14655409274953868,8.764163903044336,0.5610494467495996,2.411475559637535,0.01,,,,,,,
MPL,,7,0.010380088516750619,True,,,,,1.756417822303103,9.129210438244446,81.672074975954,5.885217727197159e-06,0.14354304285681535,0.5384308568922898,0.37718622039836364,,,,,,,
MPL,,8,0.00026532249151511704,True,,,,,2.5535492976441194,38.31703003455811,1.0659214542878728,3.517055616052124e-05,0.5215168490314445,0.6128281006926396,0.558476008452995,,,,,,,
MPL,,9,0.00030665275272835857,False,,,,,2.2070972399158784,9.377119815887042,1.3616983331557244,2.686567055263339e-05,0.28871388661423136,0.3502786644755776,1.1378919896844841,,,,,,,
MPL,,10,0.00038212960864294967,True,,,,,1.9617927056796904,6.272449703155091,0.131428205255647,0.001732019987236473,0.2088510338442675,0.7000939183749151,0.806473258753588,,,,,,,
MPL,,11,0.0004331634957940744,True,,,,,1.5482372217908318,4.9152507839966475,0.11279099231976288,0.5868250459290838,0.14136431992324777,2.9606967753098314,1.6933621914540642,,,,,,,
MPL,,12,0.00041560368279572893,True,,,,,2.0336932876006983,5.829387832891323,0.1254710447663969,1.475462202494223,0.2085234739416007,1.1842221213048647,0.9977060216119916,,,,,,,
MPL,,13,0.0026946000743261578,True,,,,,2.5370967819808743,165.74577925141455,0.9394363072457235,0.0002799084867915877,0.618189401478865,0.3867862749908969,0.6388340483245033,,,,,,,
