method,restart,objective,success,lambdas,weights,L0,A,C,alpha,fit_group,fit_offset,p0,p1,p2,p3,p4,p5,p6,p7
FSL-MPL+ small,1,0.004168752160005315,True,,,,,,,FSL-MPL+ small,2,2.575353894163769,602.0126941859485,0.315551098079174,0.8388073486803689,4.244138775197378e-05,1.039523331572914,0.839081596223324,
FSL-MPL+ small,2,0.6122346189534938,True,,,,,,,FSL-MPL+ small,2,2.5766061430403733,7812.374472980215,158.2173879831861,1.100509034829936,1e-07,1.1839602492889902,0.5050097551680596,
FSL-MPL+ small,3,0.0008075048246349186,True,,,,,,,FSL-MPL+ small,2,2.5732756525472396,214.91132618892388,13.756923080102668,0.7138821269241177,4.23544346244589e-06,1.1128370503384708,0.21825322036440245,
FSL-MPL+ small,4,0.0069923551997097344,True,,,,,,,FSL-MPL+ small,2,3.7810768179071035,7.525632997499645,9.998226988544753,0.6717700384179608,0.0019184384262337449,1.2142033398848842,0.05,
FSL-MPL+ small,5,0.0011539552215569016,True,,,,,,,FSL-MPL+ small,2,2.5478108815658573,269.57617834059664,0.36612503341549724,0.7394196246526846,3.561425828664034e-05,0.8172461747301448,0.9612019466322511,
FSL-MPL+ small,6,0.00046568511136915687,True,,,,,,,FSL-MPL+ small,2,2.1463648991559405,23.502990717108357,0.072250409371922,0.3788882781230323,0.00017064702495853603,1.3493124792754299,1.1051620140443217,
FSL-MPL+ small,7,0.00025075604784079397,True,,,,,,,FSL-MPL+ small,2,2.4460466370716394,29.998337907146993,7.679992027594132,0.4655638003680456,2.555402215851784e-06,1.308998467276537,0.5102002854297905,
FSL-MPL+ small,8,0.0003642422342700257,False,,,,,,,FSL-MPL+ small,2,2.025790793900995,5.823427924212739,0.4431312222357428,0.2094861226497919,6.947711680770951e-05,0.625458281183704,0.7847481915453312,
FSL-MPL+ small,9,0.0004830653179284332,True,,,,,,,FSL-MPL+ small,2,2.5305409092736313,9.043377950829857,2.0337837209171017,0.3577685779238756,1.807815983781314e-05,1.0331238357069934,0.544627523039805,
FSL-MPL+ small,10,0.23559045124767602,True,,,,,,,FSL-MPL+ small,2,2.432976828928118,4758.480265753114,412.7486068259126,0.9228827887617621,1e-07,1.2003071862697505,1.0792518774691835,
FSL-MPL+ small,11,0.005306646925617477,True,,,,,,,FSL-MPL+ small,2,2.4192017817209623,642.4629349377826,2.1217958217278663,0.7969275283734436,1e-07,0.6750403206686066,1.0711433251687348,
FSL-MPL+ small,12,0.00033935325751766385,False,,,,,,,FSL-MPL+ small,2,2.1233800927323494,10.95527346107196,43.13375731901613,0.29355725223877127,2.209730325958602e-07,1.1743541190023552,0.8346832264203395,
FSL-MPL+ small,13,0.0003605845012972104,True,,,,,,,FSL-MPL+ small,2,2.644301689757266,138.93709712461754,0.20866712636644102,0.6987836885929394,0.00026437566148577606,1.3455360399670981,0.8083019265236718,
FSL-MPL+ small,14,0.00026151486286613175,False,,,,,,,FSL-MPL+ small,2,2.589805841024484,72.00494858315452,2.287485281007781,0.60392443013633,2.8023346416901264e-05,0.6652559369977719,0.31622161452909775,
FSL-MPL+ small,15,0.000414658605254871,True,,,,,,,FSL-MPL+ small,2,2.222199046893562,15.313543702086148,59.41058576744256,0.3487384688126396,1e-07,1.2073840239334916,0.9545902074929898,
FSL-MPL+ small,16,0.0025248580647003306,True,,,,,,,FSL-MPL+ small,2,2.0783780326876378,203.79478192036524,83.09639347729153,0.5898593087347828,1e-07,1.1272785335373152,0.43419594043433596,
FSL-MPL+ small,17,0.002020048417280394,True,,,,,,,FSL-MPL+ small,2,2.709554475398058,435.59132543331975,0.9808458643753689,0.8589432430360152,0.00012485921709255287,0.6113611560879968,0.28747194674736615,
FSL-MPL+ small,18,0.006467925966579087,True,,,,,,,FSL-MPL+ small,2,2.0506295015230633,10.47698942026991,145.157026298931,0.20722914204627813,9.187456218039625e-07,0.5882872791680536,0.9847405851167492,
FSL-MPL+ small,19,0.00027288945990212155,True,,,,,,,FSL-MPL+ small,2,2.471684652004566,21.535158450918583,0.7247633580508496,0.4338456213572846,0.0005518938991297479,1.2157126004270624,0.09953972970881636,
