protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,FSL,wsd,test,ema,tail20,-1.425242109214421,0.0519820883418242,0.0523376645114473,0.0450952327077005,0.0169636974448359,0.065071641995039,0.0192270505394013,0.0519800400302629,0.0519820883418242,330
strict,FSL,wsd,test,ema,decay,-1.158926445686829,0.0520434228545781,0.052390082348455,0.0450952327077005,0.0169636974448359,0.065071641995039,0.019233788238781,0.0520503209740686,0.0520434228545778,340
strict,FSL,wsd,test,ema,final1000,-242.2288052605956,0.0453028451828281,0.0453596623408447,0.0450952327077005,0.0169636974448359,0.0498595499051388,0.0170199282165092,0.0452593542603563,0.0453028451828281,51
strict,FSL,wsd,test,ema,stable,0.9618908756453316,0.0305933457497718,0.0355913619795349,0.0561322583847716,0.0202086240806,0.0614936352683264,0.0108249853136238,0.0305946220857673,0.0297231294114661,1307
strict,FSL,wsd,test,raw,full,0.8868273962486795,0.0471410574625812,0.0586418898757441,0.0677007766591337,0.0256857595217711,0.2037940626435226,0.0167341936190417,0.0470872261368287,0.0385344652288059,1647
strict,FSL,wsd,test,raw,tail20,-0.6631380281980979,0.0571570200156982,0.0671804928964278,0.0677007766591337,0.0256857595217711,0.1652157543030892,0.0213453442199955,0.0570973029604321,0.0538345779247748,330
strict,FSL,wsd,test,raw,decay,-0.5917588748374301,0.0571776142222686,0.0672009399749237,0.0677007766591337,0.0256857595217711,0.1652157543030892,0.0213356518131399,0.0571959054353098,0.0539528910163724,340
strict,FSL,wsd,test,raw,final1000,-1.431735566034506,0.0544627506582503,0.0667848491411662,0.0677007766591337,0.0256857595217711,0.1652157543030892,0.0207436211998223,0.0547369123750472,0.0513864551412277,51
strict,FSL,wsd,test,raw,stable,0.8944913302063617,0.0445301704707727,0.056202119074951,0.0251601444185589,0.008958216417231,0.2037940626435226,0.0155371807758945,0.0444766123290727,0.0345235510989114,1307
strict,FSL,811,extra_unseen,ema,full,0.9536970783753632,0.0324622056714668,0.0396231065142023,0.0340500572264108,0.012783587168782,0.1194499806667797,0.0116617307426462,0.0324689089266076,0.0308392879483645,1647
strict,FSL,811,extra_unseen,ema,tail20,-8.204135719720098,0.0545245324857655,0.0610628069985595,0.0340500572264108,0.012783587168782,0.1194499806667797,0.0202321349882143,0.0544929525493712,0.0545245324857655,330
strict,FSL,811,extra_unseen,ema,decay,-5.730884082927134,0.0550106746670798,0.0614192690000681,0.0340500572264108,0.012783587168782,0.1194499806667797,0.0203941661684804,0.0550469496602501,0.0550106746670793,340
strict,FSL,811,extra_unseen,ema,final1000,-221.95950332173695,0.0355146482366982,0.0356123926016918,0.0340500572264108,0.012783587168782,0.0419329297745387,0.0133280712285488,0.0354651113314226,0.0355146482366985,51
strict,FSL,811,extra_unseen,ema,stable,0.969928243795086,0.0265964983581474,0.0315765719350776,0.0517400269601369,0.0185979330695159,0.0568038806553503,0.0093900949011897,0.0265936827883018,0.0245513985188594,1307
strict,FSL,811,extra_unseen,raw,full,0.8946520668569669,0.0451497121493471,0.0573764265977807,0.0573268347663709,0.0217122484285507,0.2039330606751388,0.0160150189106382,0.045097780049972,0.0342783289855668,1647
strict,FSL,811,extra_unseen,raw,tail20,-1.4369177250247156,0.0576912684503809,0.0706775012477193,0.0573268347663709,0.0217122484285507,0.1765097474345229,0.0215747429313584,0.0575166494711728,0.0529298475830493,330
strict,FSL,811,extra_unseen,raw,decay,-1.4429282296646462,0.0587782556253996,0.0718622132508107,0.0573268347663709,0.0217122484285507,0.1803869126708717,0.021963794403863,0.058758161316995,0.0541568765482836,340
strict,FSL,811,extra_unseen,raw,final1000,-0.7736390240527169,0.040254178809659,0.0495694980338805,0.0573268347663709,0.0217122484285507,0.1271402667035315,0.0151823994981534,0.040460649230957,0.0327033495541089,51
strict,FSL,811,extra_unseen,raw,stable,0.9061067373455576,0.041604413922983,0.0529626701146453,0.0590344177187298,0.0212756831792006,0.2039330606751388,0.0144675180172209,0.0415355936126661,0.0291071689462989,1307
strict,KMTL-m2,cosine,fit,ema,full,0.6474283180747158,0.0621300469738578,0.1152615570680898,0.0035432412415303,0.0013285547683697,0.4166291353283751,0.0201521327114844,0.062067032040746,0.0394433651892254,1647
strict,KMTL-m2,cosine,fit,ema,tail20,0.602697238003953,0.0042838099237265,0.0052978300332885,0.0035432412415303,0.0013285547683697,0.0154869329315077,0.0015981072854753,0.0042789617353784,0.001051671089542,330
strict,KMTL-m2,cosine,fit,ema,decay,0.602697238003953,0.0042838099237265,0.0052978300332885,0.0035432412415303,0.0013285547683697,0.0154869329315077,0.0015981072854753,0.0042789617353784,0.001051671089542,330
strict,KMTL-m2,cosine,fit,ema,final1000,-2.319016586209486,0.0036575752005634,0.0040740222753697,0.0035432412415303,0.0013285547683697,0.0080702220513608,0.0013714820261468,0.0036215642877615,0.0034091341683595,51
strict,KMTL-m2,cosine,fit,ema,stable,0.582430445193377,0.0766245482848246,0.1288684059678926,0.0102082089707824,0.0037902105337083,0.4166291353283751,0.0248012051416916,0.0765542135109221,0.0495901852135181,1317
strict,KMTL-m2,cosine,fit,raw,full,0.5002984109507453,0.0799683405256692,0.1320640180266924,0.0243551664423442,0.0092039057689637,0.5487320028808078,0.0265354996059959,0.0798441222938156,0.0432818893300628,1647
strict,KMTL-m2,cosine,fit,raw,tail20,0.030849709504648,0.0315224098929666,0.0400511387240777,0.0243551664423442,0.0092039057689637,0.1373510247104619,0.0117843613531947,0.0315615772278479,0.0004846500680608,330
strict,KMTL-m2,cosine,fit,raw,decay,0.030849709504648,0.0315224098929666,0.0400511387240777,0.0243551664423442,0.0092039057689637,0.1373510247104619,0.0117843613531947,0.0315615772278479,0.0004846500680608,330
strict,KMTL-m2,cosine,fit,raw,final1000,-0.0442097459731565,0.034264426962524,0.0437509308502697,0.0243551664423442,0.0092039057689637,0.1227741829216735,0.0129486945408009,0.0341274889818362,0.0090949781216935,51
strict,KMTL-m2,cosine,fit,raw,stable,0.4087448901317213,0.0921074119826106,0.1463185782072161,0.0101479775921902,0.003767931461379,0.5487320028808078,0.0302316845896135,0.0919666668885764,0.0542484481769731,1317
strict,KMTL-m2,wsd,test,ema,full,0.2017131543069811,0.139861170816825,0.1619786630055436,0.1012903649112821,0.0381028991594183,0.4174843499408198,0.0482316508358225,0.1398138797403259,0.0464354250000056,1647
strict,KMTL-m2,wsd,test,ema,tail20,-16.48303739612556,0.1376215027971579,0.1405222943872708,0.1012903649112821,0.0381028991594183,0.1985424456347999,0.0508353901959128,0.1375887117798362,0.1376215027971579,330
