method,lambda,restart,objective,success,L0,A,C,alpha
MTL,0.97,24,1e+30,True,2.283760937358291,9.996565784178545,9.358482264672215,0.25220039181318155
MTL,0.97,25,0.028654348262489374,True,2.3211562198273645,6.118294663041509,0.0012506005012707566,0.18426674390618863
MTL,0.97,26,1e+30,True,2.2498236928514013,9.684389954615897,6.380627044557455,0.24482887706751102
MTL,0.97,27,1e+30,True,2.2659619733354823,64.79732125288845,0.1458741457559068,0.5212516448197224
MTL,0.97,28,0.00017230736645153425,True,2.7805571212338136,1331.402886394289,0.005613769836051078,1.019787130075802
MTL,0.97,29,0.00023594067930547967,True,2.738793781824018,390.31196317332416,0.005229092641227027,0.8527909908337427
MTL,0.97,30,0.0001785761596208954,True,2.8555353571080158,26980.85899173047,0.006853997938923727,1.4339990178986706
MTL,0.97,31,0.037150184129922485,True,2.5710851556211423,4.222562285666806,0.000247203131094745,0.15342069234861969
MTL,0.97,32,0.0002897724026715915,True,2.6857623017485204,137.12153002886916,0.004878361160211136,0.7067440554408094
MTL,0.97,33,0.009477790532710355,True,2.079487429382312,7.749335079929057,0.01187822598858251,0.19936839358814035
MTL,0.97,34,0.00031061291980848734,True,2.6574851498416754,91.36690669226904,0.00472498552693229,0.6486332612284338
MTL,0.97,35,0.00014420576835989953,True,2.79493656405394,2314.230676894476,0.005784828358577274,1.093503255722377
MTL,0.97,36,0.00018133148238450323,True,2.8567179559748546,29139.452436688676,0.006875932170423648,1.4445458939243225
MTL,0.97,37,0.03291844352253786,True,2.386179111737574,5.198520255060386,0.00029586575608928436,0.16628925060814329
MTL,0.97,38,1e+30,True,2.288846268839516,323.3649933520303,3.3845844187552947,0.7558035882692797
MTL,0.97,39,0.03033795395259363,True,2.3435830168171052,6.016347438033136,0.00011472836041360645,0.18374230465096564
MTL,0.97,40,0.02374796860618364,True,1.7506679261659566,6.878907537815476,0.00048110330284070887,0.15961783092491078
MTL,0.97,41,0.019012158859445554,True,1.9570429547012307,8.819735292180031,0.0007742245031839074,0.20930053623721198
MTL,0.97,42,0.014129126422065126,True,2.0916636724286266,9.53583282798522,0.0047784948795069684,0.2302983957951703
MTL,0.97,43,0.00032845346877882715,True,2.6284952172997897,64.62251772922163,0.004591678162306808,0.5982570206463458
MTL,0.97,44,0.00014974535613620292,True,2.7913866350346357,2072.4747888455545,0.005734446283362345,1.0781632883316217
MTL,0.97,45,0.015429186252659703,True,2.2093477092827056,10.840448124008576,0.003120737317355435,0.2579038809848492
MTL,0.97,46,0.00036851079936803965,True,2.5771475053522432,28.647644585679526,0.004550089635462853,0.4905875430011768
MTL,0.97,47,1e+30,True,1.907878915724929,102.03325151382317,4.842038631433733,0.5602736378744015
MTL,0.97,48,1e+30,True,2.398826508620385,9.431555236339198,2.460487063409564,0.2536220273826521
MTL,0.97,49,0.0003594184330204704,True,2.5987759129808308,34.64749097234576,0.004614641707743585,0.5190145723902215
MTL,0.99,0,1e+30,True,1.763725174580566,13.72586422672608,0.04882775054303277,0.2604350126886469
MTL,0.99,1,0.019187660820208126,True,2.053890480618323,7.27901450065309,0.0016247004625237216,0.18842302191164595
MTL,0.99,2,1e+30,True,1.9486832084431167,15816.705149718287,0.9040581530007006,1.2930600062636084
MTL,0.99,3,0.0009549310266709886,True,1.8032583548634729,28.589747911183338,1e-10,0.3555380516160453
MTL,0.99,4,1e+30,True,2.1946419500836,24.376154841437657,0.3259696043280083,0.3740250553051096
MTL,0.99,5,1e+30,True,2.165874519144444,225.81308549153482,0.18131920208069996,0.6939770475587144
MTL,0.99,6,1e+30,True,1.7406536295650636,98.85798867620028,1.3880643570071853,0.5447395575385388
MTL,0.99,7,0.0006847935057417139,True,1.7894993203624567,18.015540225756315,1e-10,0.30683787840481563
MTL,0.99,8,1e+30,True,2.512654038343985,213.9487499006632,4.249053701926489,0.715885374784074
MTL,0.99,9,1e+30,True,2.570361347882743,211.33907298240243,1.1420542590573128,0.7197059533480319
